,Contig Length,Gene Count,Gene Size,Gene Start,Strand,Gene Product,Accession,Egg Description,Egg Name,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
GCA_024102725_000000000001,15914,13,"[530, 1097, 659, 941, 329, 716, 1226, 497, 1148, 734, 1508, 344, 479]","[71, 596, 1897, 2636, 3626, 8192, 8936, 10244, 10747, 11895, 12626, 14137, 14478]","['+', '-', '-', '-', '-', '+', '+', '+', '+', '+', '+', '+', '+']","['Transcriptional regulatory protein DegU', 'hypothetical protein_4', 'hypothetical protein_9', 'hypothetical protein_247', 'hypothetical protein_248', 'hypothetical protein_249', 'hypothetical protein_250', 'hypothetical protein_251', 'hypothetical protein_252', 'hypothetical protein_253', 'hypothetical protein_254', 'hypothetical protein_255', 'hypothetical protein_256']","[1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]","['Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain', 'chlorophyll binding', 'Peptidase C39, bacteriocin processing', 'COG0189 Glutathione synthase Ribosomal protein S6 modification enzyme (glutaminyl transferase)', '-', '-', 'Phage tail sheath protein', 'T4-like virus tail tube protein gp19', '-', 'LysM domain', 'PFAM Rhs element Vgr protein', '-', 'GPW gp25 family protein']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', 'ko:K06992', '-', '-', '-', 'ko:K06907', '-', '-', '-', '-', '-', 'ko:K06903']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', 'ko00000', '-', '-', '-', 'ko00000', '-', '-', '-', '-', '-', 'ko00000']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['GerE', 'DUF4157', 'Peptidase_C39', 'RimK', '-', '-', 'Phage_sheath_1,Phage_sheath_1C', 'Phage_T4_gp19', '-', '-', 'Phage_GPD', '-', 'GPW_gp25']"
GCA_024102725_000000000002,3169,1,[797],[1673],['+'],['Protein MtfA'],[20],['Belongs to the MtfA family'],['-'],['-'],['-'],['ko:K09933'],['-'],['-'],['-'],['-'],"['ko00000,ko01002']",['-'],['-'],['-'],['Peptidase_M90']
GCA_024102725_000000000003,32734,14,"[356, 299, 788, 386, 854, 653, 575, 2903, 986, 1175, 590, 602, 587, 488]","[966, 2475, 4078, 4863, 5425, 6322, 7048, 8717, 11623, 12609, 14267, 15238, 19230, 20971]","['+', '+', '-', '-', '-', '-', '-', '+', '+', '+', '-', '+', '+', '+']","['hypothetical protein_226', 'hypothetical protein_257', 'Peptidoglycan-associated lipoprotein', 'hypothetical protein_258', 'Glutamate racemase', 'hypothetical protein_10', 'hypothetical protein_259', 'hypothetical protein_11', 'hypothetical protein_12', 'Putative phospholipase A1', 'hypothetical protein_13', 'hypothetical protein_14', ""RNA 2',3'-cyclic phosphodiesterase"", 'Regulatory protein RecX']","[24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 37, 38, 41, 43]","['\n\n\n\nDescription', '\n\n\n\nDescription', 'Belongs to the ompA family', 'Domain of unknown function (DUF4398)', 'Provides the (R)-glutamate required for cell wall biosynthesis', 'Class II Aldolase and Adducin N-terminal domain', '-', 'transport system', 'Domain of unknown function (DUF4340)', 'PFAM phospholipase A1', 'protein SCO1 SenC PrrC involved in biogenesis of respiratory and photosynthetic systems', 'Metallo-beta-lactamase superfamily', ""Hydrolyzes RNA 2',3'-cyclic phosphodiester to an RNA 2'- phosphomonoester"", 'Regulatory protein recX']","['Preferred_name', 'Preferred_name', '-', '-', 'murI', '-', '-', '-', '-', '-', '-', '-', '-', 'recX']","['GOs', 'GOs', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'GO:0003674,GO:0005488,GO:0005515,GO:0006282,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0019219,GO:0019222,GO:0019899,GO:0030234,GO:0031323,GO:0031668,GO:0033554,GO:0043086,GO:0044092,GO:0048583,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051171,GO:0051716,GO:0060255,GO:0065007,GO:0065009,GO:0071496,GO:0080090,GO:0080134,GO:0080135,GO:0098772,GO:2001020']","['EC', 'EC', '-', '-', '5.1.1.3', '-', '-', '-', '-', '3.1.1.32,3.1.1.4', '-', '-', '3.1.4.58', '-']","['KEGG_ko', 'KEGG_ko', '-', '-', 'ko:K01776', '-', '-', 'ko:K01992', '-', 'ko:K01058', 'ko:K07152', '-', 'ko:K01975', 'ko:K03565']","['KEGG_Pathway', 'KEGG_Pathway', '-', '-', 'ko00471,ko01100,map00471,map01100', '-', '-', '-', '-', 'ko00564,ko00565,ko00590,ko00591,ko00592,ko01100,ko01110,map00564,map00565,map00590,map00591,map00592,map01100,map01110', '-', '-', '-', '-']","['KEGG_Module', 'KEGG_Module', '-', '-', '-', '-', '-', 'M00254', '-', '-', '-', '-', '-', '-']","['KEGG_Reaction', 'KEGG_Reaction', '-', '-', 'R00260', '-', '-', '-', '-', 'R01315,R01316,R01317,R02053,R02054,R04034,R07064,R07379,R07387,R07859,R07860', '-', '-', '-', '-']","['KEGG_rclass', 'KEGG_rclass', '-', '-', 'RC00302', '-', '-', '-', '-', 'RC00020,RC00037,RC00041,RC00094', '-', '-', '-', '-']","['BRITE', 'BRITE', '-', '-', 'ko00000,ko00001,ko01000,ko01011', '-', '-', 'ko00000,ko00002,ko02000', '-', 'ko00000,ko00001,ko01000', 'ko00000,ko03029', '-', 'ko00000,ko01000,ko03016', 'ko00000,ko03400']","['KEGG_TC', 'KEGG_TC', '-', '-', '-', '-', '-', '3.A.1', '-', '-', '-', '-', '-', '-']","['CAZy', 'CAZy', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['BiGG_Reaction', 'BiGG_Reaction', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['PFAMs', 'PFAMs', 'DUF4398,OmpA', 'DUF4398', 'Asp_Glu_race', 'Aldolase_II', '-', 'ABC2_membrane_2,ABC_transp_aux', 'DUF4340', 'PLA1', 'SCO1-SenC,ZnuA', 'Lactamase_B_5', 'LigT_PEase', 'RecX']"
GCA_024102725_000000000004,2146,1,[1961],[62],['+'],['Elongation factor G-like protein'],[56],['small GTP-binding protein'],['-'],['-'],['-'],['ko:K02355'],['-'],['-'],['-'],['-'],"['ko00000,ko03012,ko03029']",['-'],['-'],['-'],"['EFG_C,EFG_II,EFG_IV,GTP_EFTU']"
GCA_024102725_000000000005,3000,2,"[971, 521]","[1242, 2428]","['-', '-']","['Proline iminopeptidase', 'Fructose-1,6-bisphosphatase class 1']","[59, 60]","['Belongs to the peptidase S33 family', 'D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1']","['-', 'fbp']","['-', '-']","['3.4.11.5', '3.1.3.11']","['ko:K01259', 'ko:K03841']","['ko00330,map00330', 'ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko04152,ko04910,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map04152,map04910']","['-', 'M00003,M00165,M00167,M00344']","['R00135', 'R00762,R04780']","['-', 'RC00017']","['ko00000,ko00001,ko01000,ko01002', 'ko00000,ko00001,ko00002,ko01000,ko04147']","['-', '-']","['-', '-']","['-', '-']","['Abhydrolase_1', 'FBPase']"
GCA_024102725_000000000006,7801,2,"[590, 1436]","[307, 2292]","['+', '-']","['hypothetical protein_227', 'hypothetical protein_260']","[61, 64]","['PFAM Glutathione S-transferase domain', 'ribonuclease BN']","['yibF', '-']","['-', '-']","['-', '-']","['-', 'ko:K07058']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', 'ko00000']","['-', '-']","['-', '-']","['-', '-']","['GST_C_2,GST_N_3', 'Rrf2,Virul_fac_BrkB']"
GCA_024102725_000000000007,3480,1,[2765],[627],['+'],['hypothetical protein_261'],[68],['Diguanylate cyclase'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],"['CHASE,EAL,GGDEF,MASE1']"
GCA_024102725_000000000009,32160,14,"[1073, 1091, 392, 1841, 1028, 1325, 383, 1037, 1757, 1145, 1112, 581, 563, 713]","[727, 1857, 6537, 7777, 11432, 12453, 14268, 16297, 17331, 19085, 20236, 21359, 23439, 30651]","['+', '-', '+', '+', '-', '-', '+', '+', '+', '+', '+', '+', '-', '+']","['hypothetical protein_262', 'Ubiquinone biosynthesis O-methyltransferase, mitochondrial', 'hypothetical protein_263', 'Protease 4', 'hypothetical protein_15', 'CAI-1 autoinducer sensor kinase/phosphatase CqsS', 'hypothetical protein_16', 'hypothetical protein_264', 'putative multidrug ABC transporter ATP-binding protein YbhF', 'putative multidrug ABC transporter permease YbhS', 'putative multidrug ABC transporter permease YbhR', 'hypothetical protein_265', 'hypothetical protein_266', 'hypothetical protein_17']","[74, 75, 79, 81, 83, 84, 85, 87, 88, 89, 90, 91, 94, 99]","['Esterase of the alpha-beta hydrolase superfamily', 'Putative methyltransferase', 'Lactoylglutathione lyase and related lyases', 'PFAM peptidase S49', 'Response regulator receiver domain', 'Histidine kinase', 'small membrane protein', 'secretion protein', 'ABC transporter', 'PFAM ABC-2 type transporter', 'PFAM ABC-2 type transporter', '\n\n\n\nDescription', 'Phosphatase', 'Rhomboid family']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'Preferred_name', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'GOs', '-', '-']","['-', '-', '-', '-', '-', '2.7.13.3', '-', '-', '-', '-', '-', 'EC', '-', '-']","['ko:K07001', '-', '-', 'ko:K04773', '-', 'ko:K10916', '-', 'ko:K01993', 'ko:K13926', 'ko:K01992', 'ko:K01992', 'KEGG_ko', '-', '-']","['-', '-', '-', '-', '-', 'ko02020,ko02024,ko05111,map02020,map02024,map05111', '-', '-', '-', '-', '-', 'KEGG_Pathway', '-', '-']","['-', '-', '-', '-', '-', 'M00513', '-', '-', '-', 'M00254', 'M00254', 'KEGG_Module', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'KEGG_Reaction', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'KEGG_rclass', '-', '-']","['ko00000', '-', '-', 'ko00000,ko01000,ko01002', '-', 'ko00000,ko00001,ko00002,ko01000,ko01001,ko02022', '-', 'ko00000', 'ko00000', 'ko00000,ko00002,ko02000', 'ko00000,ko00002,ko02000', 'BRITE', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '3.A.1', '3.A.1', 'KEGG_TC', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'CAZy', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'BiGG_Reaction', '-', '-']","['Patatin', 'Methyltransf_31', 'Glyoxalase', 'Peptidase_S49', 'Response_reg', 'HATPase_c', 'DUF423', 'Biotin_lipoyl_2,HlyD_3,HlyD_D23', 'ABC2_membrane_3,ABC_tran', 'ABC2_membrane_3', 'ABC2_membrane_3', 'PFAMs', 'CDKN3,DSPc', 'Rhomboid']"
GCA_024102725_000000000010,4486,2,"[533, 293]","[129, 3187]","['+', '-']","['hypothetical protein_18', 'hypothetical protein_19']","[101, 105]","['Methyltransferase domain', 'bacterial-type flagellum organization']","['-', 'flgM']","['-', '-']","['-', '-']","['-', 'ko:K02398']","['-', 'ko02020,ko02025,ko02026,ko02040,map02020,map02025,map02026,map02040']","['-', '-']","['-', '-']","['-', '-']","['-', 'ko00000,ko00001,ko02035']","['-', '-']","['-', '-']","['-', '-']","['Methyltransf_23,Methyltransf_25', 'FlgM']"
GCA_024102725_000000000011,3059,1,[446],[194],['+'],['Inner membrane protein YbaN'],[107],['Membrane'],['-'],['-'],['-'],['ko:K09790'],['-'],['-'],['-'],['-'],['ko00000'],['-'],['-'],['-'],['DUF454']
GCA_024102725_000000000012,12073,1,[401],[1884],['-'],['RNA polymerase-binding transcription factor DksA'],[111],['Prokaryotic dksA/traR C4-type zinc finger'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['zf-dskA_traR']
