,Contig Length,Gene Count,Gene Size,Gene Start,Strand,Gene Product,Accession,Egg Description,Egg Name,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
GCA_001896955_000000000001,8931,1,[1037],[1346],['-'],"['Fructose-1,6-bisphosphatase class 1']",[3],"['D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1']",['fbp'],"['GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005984,GO:0005985,GO:0005986,GO:0005996,GO:0006000,GO:0006002,GO:0006006,GO:0006094,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009058,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019203,GO:0019318,GO:0019319,GO:0019637,GO:0030388,GO:0034637,GO:0042132,GO:0042578,GO:0044237,GO:0044238,GO:0044249,GO:0044262,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046351,GO:0046364,GO:0050308,GO:0071704,GO:1901135,GO:1901576']",['3.1.3.11'],['ko:K03841'],"['ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko04152,ko04910,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map04152,map04910']","['M00003,M00165,M00167,M00344']","['R00762,R04780']",['RC00017'],"['ko00000,ko00001,ko00002,ko01000,ko04147']",['-'],['-'],['-'],['FBPase']
GCA_001896955_000000000002,40687,1,[254],[32273],['+'],['hypothetical protein_20'],[48],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000004,39342,2,"[1202, 416]","[8801, 10194]","['-', '-']","['hypothetical protein_5', 'hypothetical protein_6']","[125, 126]","['NnrS protein', 'cheY-homologous receiver domain']","['-', 'exsF']","['-', '-']","['-', '-']","['ko:K07234', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['ko00000', '-']","['-', '-']","['-', '-']","['-', '-']","['NnrS', 'Response_reg']"
GCA_001896955_000000000006,38459,2,"[476, 710]","[12488, 13099]","['-', '+']","['hypothetical protein_7', 'CRP-like cAMP-activated global transcriptional regulator']","[208, 209]","['-', 'Crp Fnr family']","['-', 'nnrR']","['-', '-']","['-', '-']","['-', 'ko:K21564']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', 'ko00000,ko03000']","['-', '-']","['-', '-']","['-', '-']","['-', 'HTH_Crp_2,cNMP_binding']"
GCA_001896955_000000000009,38824,1,[698],[2237],['+'],['hypothetical protein_31'],[270],['chaperone-mediated protein folding'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['TPR_16']
GCA_001896955_000000000013,16442,1,[443],[4203],['+'],['hypothetical protein_4'],[393],['Protein of unknown function (DUF983)'],['MA20_36345'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['DUF983']
GCA_001896955_000000000015,16376,1,[1331],[14745],['-'],['hypothetical protein_32'],[431],['Multicopper oxidase'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],"['Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3']"
GCA_001896955_000000000017,88346,10,"[698, 248, 152, 230, 1046, 578, 551, 1343, 2150, 1139]","[8124, 8971, 37541, 59459, 59916, 61172, 61882, 67702, 69907, 75168]","['-', '+', '-', '+', '-', '-', '+', '+', '+', '-']","['hypothetical protein_3', 'hypothetical protein_76', 'hypothetical protein_2', 'hypothetical protein_33', 'hypothetical protein_89', 'hypothetical protein_90', 'hypothetical protein_91', 'Type I secretion system membrane fusion protein PrsE', 'Isochorismate synthase MenF', 'hypothetical protein_34']","[458, 459, 487, 511, 512, 513, 514, 518, 520, 524]","['lytic transglycosylase activity', 'CsbD-like', 'cytochrome c oxidase subunit IV', '-', 'helix_turn_helix, Lux Regulon', '-', '-', 'HlyD membrane-fusion protein of T1SS', 'Anthranilate synthase component I', '-']","['-', 'yjbJ', 'MA20_03820', '-', '-', '-', '-', '-', 'pabB', '-']","['-', 'GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '2.6.1.85,4.1.3.27', '-']","['-', '-', '-', '-', '-', '-', '-', 'ko:K02022', 'ko:K01657,ko:K01665,ko:K13950', '-']","['-', '-', '-', '-', '-', '-', '-', '-', 'ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025', '-']","['-', '-', '-', '-', '-', '-', '-', '-', 'M00023', '-']","['-', '-', '-', '-', '-', '-', '-', '-', 'R00985,R00986,R01716', '-']","['-', '-', '-', '-', '-', '-', '-', '-', 'RC00010,RC01418,RC02148,RC02414', '-']","['-', '-', '-', '-', '-', '-', '-', 'ko00000', 'ko00000,ko00001,ko00002,ko01000', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['B_lectin,SLT', 'CsbD', 'COX4_pro_2', '-', 'GerE', '-', '-', 'Biotin_lipoyl_2,HlyD,HlyD_3', 'Anth_synt_I_N,Chorismate_bind,GATase', 'PcfJ']"
GCA_001896955_000000000018,52811,4,"[638, 920, 1517, 596]","[9029, 16286, 20310, 28655]","['+', '+', '-', '+']","['hypothetical protein_8', '2-dehydropantoate 2-reductase', 'Protein adenylyltransferase SelO', 'hypothetical protein_35']","[548, 554, 559, 565]","['Cytochrome c', 'Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid', 'Belongs to the UPF0061 (SELO) family', 'CHAT domain']","['-', 'MA20_25035', 'MA20_28420', '-']","['-', '-', '-', '-']","['-', '1.1.1.169', '-', '-']","['-', 'ko:K00077', 'ko:K08997', '-']","['-', 'ko00770,ko01100,ko01110,map00770,map01100,map01110', '-', '-']","['-', 'M00119', '-', '-']","['-', 'R02472', '-', '-']","['-', 'RC00726', '-', '-']","['-', 'ko00000,ko00001,ko00002,ko01000', 'ko00000', '-']","['-', '-', '-', '-']","['-', '-', '-', '-']","['-', '-', '-', '-']","['Cytochrom_C,Cytochrome_CBB3', 'ApbA,ApbA_C', 'UPF0061', 'CHAT,TPR_10,TPR_12,TPR_16,TPR_7']"
GCA_001896955_000000000020,2839,1,[155],[2589],['-'],['Ribulose bisphosphate carboxylase small chain'],[628],['Function of homologous gene experimentally demonstrated in an other organism'],['ccbS2'],['-'],['4.1.1.39'],['ko:K01602'],"['ko00630,ko00710,ko01100,ko01120,ko01200,map00630,map00710,map01100,map01120,map01200']","['M00165,M00166,M00532']","['R00024,R03140']","['RC00172,RC00859']","['ko00000,ko00001,ko00002,ko01000']",['-'],['-'],['-'],['RuBisCO_small']
