,Gene Start,Gene Size,Strand,Gene Product,Accession
0,59459.0,230.0,+,hypothetical protein_33,511.0
1,59459.0,230.0,+,hypothetical protein_33,511.0
2,59916.0,1046.0,-,hypothetical protein_89,512.0
3,59459.0,230.0,+,hypothetical protein_33,511.0
4,59916.0,1046.0,-,hypothetical protein_89,512.0
5,61172.0,578.0,-,hypothetical protein_90,513.0
6,59459.0,230.0,+,hypothetical protein_33,511.0
7,59916.0,1046.0,-,hypothetical protein_89,512.0
8,61172.0,578.0,-,hypothetical protein_90,513.0
9,61882.0,551.0,+,hypothetical protein_91,514.0
10,59459.0,230.0,+,hypothetical protein_33,511.0
11,59916.0,1046.0,-,hypothetical protein_89,512.0
12,61172.0,578.0,-,hypothetical protein_90,513.0
13,61882.0,551.0,+,hypothetical protein_91,514.0
14,67702.0,1343.0,+,Type I secretion system membrane fusion protein PrsE,518.0
15,59459.0,230.0,+,hypothetical protein_33,511.0
16,59916.0,1046.0,-,hypothetical protein_89,512.0
17,61172.0,578.0,-,hypothetical protein_90,513.0
18,61882.0,551.0,+,hypothetical protein_91,514.0
19,67702.0,1343.0,+,Type I secretion system membrane fusion protein PrsE,518.0
20,69907.0,2150.0,+,Isochorismate synthase MenF,520.0
21,59459.0,230.0,+,hypothetical protein_33,511.0
22,59916.0,1046.0,-,hypothetical protein_89,512.0
23,61172.0,578.0,-,hypothetical protein_90,513.0
24,61882.0,551.0,+,hypothetical protein_91,514.0
25,67702.0,1343.0,+,Type I secretion system membrane fusion protein PrsE,518.0
26,69907.0,2150.0,+,Isochorismate synthase MenF,520.0
27,921.0,425.0,+,tRNA (adenine(37)-N6)-methyltransferase,1712.0
28,921.0,425.0,+,tRNA (adenine(37)-N6)-methyltransferase,1712.0
29,3028.0,239.0,+,hypothetical protein_63,1715.0
30,921.0,425.0,+,tRNA (adenine(37)-N6)-methyltransferase,1712.0
31,3028.0,239.0,+,hypothetical protein_63,1715.0
32,5874.0,197.0,-,hypothetical protein_69,1718.0
33,921.0,425.0,+,tRNA (adenine(37)-N6)-methyltransferase,1712.0
34,3028.0,239.0,+,hypothetical protein_63,1715.0
35,5874.0,197.0,-,hypothetical protein_69,1718.0
36,7194.0,749.0,-,hypothetical protein_42,1719.0
37,921.0,425.0,+,tRNA (adenine(37)-N6)-methyltransferase,1712.0
38,3028.0,239.0,+,hypothetical protein_63,1715.0
39,5874.0,197.0,-,hypothetical protein_69,1718.0
40,7194.0,749.0,-,hypothetical protein_42,1719.0
41,9860.0,551.0,-,hypothetical protein_14,1721.0
42,174.0,662.0,+,Phosphorylated carbohydrates phosphatase,1988.0
43,174.0,662.0,+,Phosphorylated carbohydrates phosphatase,1988.0
44,830.0,770.0,+,hypothetical protein_46,1989.0
45,174.0,662.0,+,Phosphorylated carbohydrates phosphatase,1988.0
46,830.0,770.0,+,hypothetical protein_46,1989.0
47,2687.0,1631.0,-,hypothetical protein_47,1991.0
48,174.0,662.0,+,Phosphorylated carbohydrates phosphatase,1988.0
49,830.0,770.0,+,hypothetical protein_46,1989.0
50,2687.0,1631.0,-,hypothetical protein_47,1991.0
51,4456.0,1157.0,-,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase",1992.0
52,174.0,662.0,+,Phosphorylated carbohydrates phosphatase,1988.0
53,830.0,770.0,+,hypothetical protein_46,1989.0
54,2687.0,1631.0,-,hypothetical protein_47,1991.0
55,4456.0,1157.0,-,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase",1992.0
56,5610.0,1001.0,-,"UDP-N-acetylglucosamine 4,6-dehydratase (inverting)",1993.0
57,66.0,1028.0,+,hypothetical protein_56,3226.0
58,66.0,1028.0,+,hypothetical protein_56,3226.0
59,1129.0,677.0,+,Nitrate reductase-like protein NarX,3227.0
60,66.0,1028.0,+,hypothetical protein_56,3226.0
61,1129.0,677.0,+,Nitrate reductase-like protein NarX,3227.0
62,2069.0,1250.0,+,putative nitrate transporter NarT,3228.0
63,66.0,1028.0,+,hypothetical protein_56,3226.0
64,1129.0,677.0,+,Nitrate reductase-like protein NarX,3227.0
65,2069.0,1250.0,+,putative nitrate transporter NarT,3228.0
66,3525.0,986.0,+,hypothetical protein_57,3229.0
67,21250.0,827.0,-,hypothetical protein_66,3352.0
68,21250.0,827.0,-,hypothetical protein_66,3352.0
69,22083.0,632.0,-,hypothetical protein_71,3353.0
70,21250.0,827.0,-,hypothetical protein_66,3352.0
71,22083.0,632.0,-,hypothetical protein_71,3353.0
72,22729.0,2360.0,-,hypothetical protein_67,3354.0
73,21250.0,827.0,-,hypothetical protein_66,3352.0
74,22083.0,632.0,-,hypothetical protein_71,3353.0
75,22729.0,2360.0,-,hypothetical protein_67,3354.0
76,25179.0,929.0,-,Denitrification regulatory protein NirQ,3355.0
77,21250.0,827.0,-,hypothetical protein_66,3352.0
78,22083.0,632.0,-,hypothetical protein_71,3353.0
79,22729.0,2360.0,-,hypothetical protein_67,3354.0
80,25179.0,929.0,-,Denitrification regulatory protein NirQ,3355.0
81,26365.0,635.0,-,Sporulation initiation inhibitor protein Soj,3357.0
82,21250.0,827.0,-,hypothetical protein_66,3352.0
83,22083.0,632.0,-,hypothetical protein_71,3353.0
84,22729.0,2360.0,-,hypothetical protein_67,3354.0
85,25179.0,929.0,-,Denitrification regulatory protein NirQ,3355.0
86,26365.0,635.0,-,Sporulation initiation inhibitor protein Soj,3357.0
87,27004.0,266.0,-,hypothetical protein_59,3358.0
88,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
89,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
90,403.0,2678.0,+,hypothetical protein_82,963.0
91,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
92,403.0,2678.0,+,hypothetical protein_82,963.0
93,3093.0,1526.0,+,hypothetical protein_30,964.0
94,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
95,403.0,2678.0,+,hypothetical protein_82,963.0
96,3093.0,1526.0,+,hypothetical protein_30,964.0
97,4635.0,257.0,+,Ethanolamine utilization protein EutN,965.0
98,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
99,403.0,2678.0,+,hypothetical protein_82,963.0
100,3093.0,1526.0,+,hypothetical protein_30,964.0
101,4635.0,257.0,+,Ethanolamine utilization protein EutN,965.0
102,4892.0,248.0,+,hypothetical protein_68,966.0
103,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
104,403.0,2678.0,+,hypothetical protein_82,963.0
105,3093.0,1526.0,+,hypothetical protein_30,964.0
106,4635.0,257.0,+,Ethanolamine utilization protein EutN,965.0
107,4892.0,248.0,+,hypothetical protein_68,966.0
108,6352.0,266.0,+,hypothetical protein_59,969.0
109,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
110,403.0,2678.0,+,hypothetical protein_82,963.0
111,3093.0,1526.0,+,hypothetical protein_30,964.0
112,4635.0,257.0,+,Ethanolamine utilization protein EutN,965.0
113,4892.0,248.0,+,hypothetical protein_68,966.0
114,6352.0,266.0,+,hypothetical protein_59,969.0
115,6622.0,635.0,+,Sporulation initiation inhibitor protein Soj,970.0
116,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
117,403.0,2678.0,+,hypothetical protein_82,963.0
118,3093.0,1526.0,+,hypothetical protein_30,964.0
119,4635.0,257.0,+,Ethanolamine utilization protein EutN,965.0
120,4892.0,248.0,+,hypothetical protein_68,966.0
121,6352.0,266.0,+,hypothetical protein_59,969.0
122,6622.0,635.0,+,Sporulation initiation inhibitor protein Soj,970.0
123,7502.0,929.0,+,Denitrification regulatory protein NirQ,972.0
124,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
125,403.0,2678.0,+,hypothetical protein_82,963.0
126,3093.0,1526.0,+,hypothetical protein_30,964.0
127,4635.0,257.0,+,Ethanolamine utilization protein EutN,965.0
128,4892.0,248.0,+,hypothetical protein_68,966.0
129,6352.0,266.0,+,hypothetical protein_59,969.0
130,6622.0,635.0,+,Sporulation initiation inhibitor protein Soj,970.0
131,7502.0,929.0,+,Denitrification regulatory protein NirQ,972.0
132,8523.0,2351.0,+,hypothetical protein_67,973.0
133,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
134,403.0,2678.0,+,hypothetical protein_82,963.0
135,3093.0,1526.0,+,hypothetical protein_30,964.0
136,4635.0,257.0,+,Ethanolamine utilization protein EutN,965.0
137,4892.0,248.0,+,hypothetical protein_68,966.0
138,6352.0,266.0,+,hypothetical protein_59,969.0
139,6622.0,635.0,+,Sporulation initiation inhibitor protein Soj,970.0
140,7502.0,929.0,+,Denitrification regulatory protein NirQ,972.0
141,8523.0,2351.0,+,hypothetical protein_67,973.0
142,10888.0,632.0,+,hypothetical protein_71,974.0
143,33.0,266.0,+,Ribulose bisphosphate carboxylase small chain,961.0
144,403.0,2678.0,+,hypothetical protein_82,963.0
145,3093.0,1526.0,+,hypothetical protein_30,964.0
146,4635.0,257.0,+,Ethanolamine utilization protein EutN,965.0
147,4892.0,248.0,+,hypothetical protein_68,966.0
148,6352.0,266.0,+,hypothetical protein_59,969.0
149,6622.0,635.0,+,Sporulation initiation inhibitor protein Soj,970.0
150,7502.0,929.0,+,Denitrification regulatory protein NirQ,972.0
151,8523.0,2351.0,+,hypothetical protein_67,973.0
152,10888.0,632.0,+,hypothetical protein_71,974.0
153,11526.0,827.0,+,hypothetical protein_66,975.0
154,8.0,479.0,+,Respiratory nitrate reductase 2 beta chain,992.0
155,8.0,479.0,+,Respiratory nitrate reductase 2 beta chain,992.0
156,665.0,1028.0,+,hypothetical protein_56,993.0
157,8.0,479.0,+,Respiratory nitrate reductase 2 beta chain,992.0
158,665.0,1028.0,+,hypothetical protein_56,993.0
159,1728.0,677.0,+,Nitrate reductase-like protein NarX,994.0
160,8.0,479.0,+,Respiratory nitrate reductase 2 beta chain,992.0
161,665.0,1028.0,+,hypothetical protein_56,993.0
162,1728.0,677.0,+,Nitrate reductase-like protein NarX,994.0
163,2688.0,1250.0,+,putative nitrate transporter NarT,995.0
164,8.0,479.0,+,Respiratory nitrate reductase 2 beta chain,992.0
165,665.0,1028.0,+,hypothetical protein_56,993.0
166,1728.0,677.0,+,Nitrate reductase-like protein NarX,994.0
167,2688.0,1250.0,+,putative nitrate transporter NarT,995.0
168,4100.0,1031.0,+,hypothetical protein_57,996.0
169,103822.0,1664.0,-,hypothetical protein_77,1135.0
170,103822.0,1664.0,-,hypothetical protein_77,1135.0
171,105528.0,887.0,-,putative metallo-hydrolase,1136.0
172,103822.0,1664.0,-,hypothetical protein_77,1135.0
173,105528.0,887.0,-,putative metallo-hydrolase,1136.0
174,4818.0,197.0,-,hypothetical protein_69,1416.0
175,4818.0,197.0,-,hypothetical protein_69,1416.0
176,6426.0,764.0,-,hypothetical protein_42,1417.0
177,4818.0,197.0,-,hypothetical protein_69,1416.0
178,6426.0,764.0,-,hypothetical protein_42,1417.0
179,8879.0,557.0,-,hypothetical protein_14,1420.0
180,4818.0,197.0,-,hypothetical protein_69,1416.0
181,6426.0,764.0,-,hypothetical protein_42,1417.0
182,8879.0,557.0,-,hypothetical protein_14,1420.0
183,4818.0,197.0,-,hypothetical protein_69,1416.0
184,6426.0,764.0,-,hypothetical protein_42,1417.0
185,8879.0,557.0,-,hypothetical protein_14,1420.0
186,59110.0,689.0,-,hypothetical protein_43,1764.0
187,59110.0,689.0,-,hypothetical protein_43,1764.0
188,60087.0,620.0,-,hypothetical protein_64,1765.0
189,59110.0,689.0,-,hypothetical protein_43,1764.0
190,60087.0,620.0,-,hypothetical protein_64,1765.0
191,60883.0,821.0,+,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",1766.0
192,59110.0,689.0,-,hypothetical protein_43,1764.0
193,60087.0,620.0,-,hypothetical protein_64,1765.0
194,60883.0,821.0,+,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",1766.0
195,61704.0,662.0,+,Phosphorylated carbohydrates phosphatase,1767.0
196,59110.0,689.0,-,hypothetical protein_43,1764.0
197,60087.0,620.0,-,hypothetical protein_64,1765.0
198,60883.0,821.0,+,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",1766.0
199,61704.0,662.0,+,Phosphorylated carbohydrates phosphatase,1767.0
200,62360.0,779.0,+,hypothetical protein_46,1768.0
201,59110.0,689.0,-,hypothetical protein_43,1764.0
202,60087.0,620.0,-,hypothetical protein_64,1765.0
203,60883.0,821.0,+,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",1766.0
204,61704.0,662.0,+,Phosphorylated carbohydrates phosphatase,1767.0
205,62360.0,779.0,+,hypothetical protein_46,1768.0
206,64389.0,1676.0,-,hypothetical protein_47,1770.0
207,59110.0,689.0,-,hypothetical protein_43,1764.0
208,60087.0,620.0,-,hypothetical protein_64,1765.0
209,60883.0,821.0,+,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",1766.0
210,61704.0,662.0,+,Phosphorylated carbohydrates phosphatase,1767.0
211,62360.0,779.0,+,hypothetical protein_46,1768.0
212,64389.0,1676.0,-,hypothetical protein_47,1770.0
213,66248.0,1157.0,-,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase",1771.0
214,59110.0,689.0,-,hypothetical protein_43,1764.0
215,60087.0,620.0,-,hypothetical protein_64,1765.0
216,60883.0,821.0,+,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",1766.0
217,61704.0,662.0,+,Phosphorylated carbohydrates phosphatase,1767.0
218,62360.0,779.0,+,hypothetical protein_46,1768.0
219,64389.0,1676.0,-,hypothetical protein_47,1770.0
220,66248.0,1157.0,-,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase",1771.0
221,67402.0,1001.0,-,"UDP-N-acetylglucosamine 4,6-dehydratase (inverting)",1772.0
222,59110.0,689.0,-,hypothetical protein_43,1764.0
223,60087.0,620.0,-,hypothetical protein_64,1765.0
224,60883.0,821.0,+,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",1766.0
225,61704.0,662.0,+,Phosphorylated carbohydrates phosphatase,1767.0
226,62360.0,779.0,+,hypothetical protein_46,1768.0
227,64389.0,1676.0,-,hypothetical protein_47,1770.0
228,66248.0,1157.0,-,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase",1771.0
229,67402.0,1001.0,-,"UDP-N-acetylglucosamine 4,6-dehydratase (inverting)",1772.0
230,18680.0,347.0,-,hypothetical protein_21,2804.0
231,18680.0,347.0,-,hypothetical protein_21,2804.0
232,22256.0,881.0,-,hypothetical protein_73,2809.0
233,18680.0,347.0,-,hypothetical protein_21,2804.0
234,22256.0,881.0,-,hypothetical protein_73,2809.0
235,18680.0,347.0,-,hypothetical protein_21,2804.0
236,22256.0,881.0,-,hypothetical protein_73,2809.0
237,69176.0,347.0,-,hypothetical protein_21,58.0
238,69176.0,347.0,-,hypothetical protein_21,58.0
239,73016.0,1004.0,-,hypothetical protein_73,63.0
240,69176.0,347.0,-,hypothetical protein_21,58.0
241,73016.0,1004.0,-,hypothetical protein_73,63.0
242,69176.0,347.0,-,hypothetical protein_21,58.0
243,73016.0,1004.0,-,hypothetical protein_73,63.0
244,69176.0,347.0,-,hypothetical protein_21,58.0
245,73016.0,1004.0,-,hypothetical protein_73,63.0
246,69176.0,347.0,-,hypothetical protein_21,58.0
247,73016.0,1004.0,-,hypothetical protein_73,63.0
248,185244.0,710.0,+,hypothetical protein_8,166.0
249,69176.0,347.0,-,hypothetical protein_21,58.0
250,73016.0,1004.0,-,hypothetical protein_73,63.0
251,185244.0,710.0,+,hypothetical protein_8,166.0
252,190817.0,920.0,+,2-dehydropantoate 2-reductase,170.0
253,69176.0,347.0,-,hypothetical protein_21,58.0
254,73016.0,1004.0,-,hypothetical protein_73,63.0
255,185244.0,710.0,+,hypothetical protein_8,166.0
256,190817.0,920.0,+,2-dehydropantoate 2-reductase,170.0
257,194958.0,572.0,+,hypothetical protein_35,175.0
258,69176.0,347.0,-,hypothetical protein_21,58.0
259,73016.0,1004.0,-,hypothetical protein_73,63.0
260,185244.0,710.0,+,hypothetical protein_8,166.0
261,190817.0,920.0,+,2-dehydropantoate 2-reductase,170.0
262,194958.0,572.0,+,hypothetical protein_35,175.0
263,69176.0,347.0,-,hypothetical protein_21,58.0
264,73016.0,1004.0,-,hypothetical protein_73,63.0
265,185244.0,710.0,+,hypothetical protein_8,166.0
266,190817.0,920.0,+,2-dehydropantoate 2-reductase,170.0
