,Gene Start,Gene Size,Strand,Gene Product,Accession
0,2525,584,+,Tyrosine recombinase XerD,4
1,3640,479,+,hypothetical protein_531,5
2,18239,722,-,Aspartate/glutamate leucyltransferase,17
3,19872,1166,-,hypothetical protein_142,19
4,21178,137,+,hypothetical protein_494,20
5,23777,635,+,Outer-membrane lipoprotein carrier protein,22
6,41244,1271,+,hypothetical protein_426,35
7,42546,878,+,hypothetical protein_104,36
8,43599,1451,+,Serine/threonine-protein kinase PknD,37
9,45276,836,-,hypothetical protein_425,38
10,46680,236,+,hypothetical protein_618,40
11,46808,737,-,"Propane 2-monooxygenase, reductase component",41
12,47636,2684,-,hypothetical protein_424,42
13,50378,428,-,Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase,43
14,50803,320,-,hypothetical protein_221,44
15,52627,704,-,hypothetical protein_423,47
16,53403,2525,-,hypothetical protein_103,48
17,59495,956,-,hypothetical protein_114,51
18,60515,800,-,Kynurenine formamidase_437,52
19,61561,767,-,hypothetical protein_113,53
20,62525,260,-,Spore protein SP21,54
21,62837,1697,-,Glycine betaine transporter,55
22,65035,314,-,hypothetical protein_436,57
23,65794,1877,+,hypothetical protein_112,58
24,67805,782,-,hypothetical protein_619,59
25,68795,1319,-,putative nitrate/nitrite transporter NarK2,60
26,70452,602,-,hypothetical protein_111,61
27,71246,194,+,hypothetical protein_110,62
28,72306,317,+,Chaperone modulatory protein CbpM,64
29,72647,857,-,hypothetical protein_109,65
30,76126,395,-,putative protein,67
31,78094,920,-,Manganese efflux system protein MneP,70
32,79094,1520,-,Histidine ammonia-lyase,71
33,80856,521,+,hypothetical protein_435,72
34,83057,827,+,Putative oxidoreductase SadH,76
35,85149,560,+,hypothetical protein_433,78
36,85734,494,+,putative N-acetyltransferase YafP,79
37,86235,608,+,hypothetical protein_108,80
38,93654,203,-,hypothetical protein_214,88
39,94361,650,-,hypothetical protein_432,89
40,104023,4607,-,hypothetical protein_530,96
41,108627,584,-,hypothetical protein_239,97
42,125645,1457,+,Membrane-bound lytic murein transglycosylase F,109
43,131728,1184,+,Adaptive-response sensory-kinase SasA_36,112
44,132950,1148,+,hypothetical protein_35,113
45,135603,545,+,hypothetical protein_34,115
46,136184,386,+,hypothetical protein_33,116
47,137259,1355,+,Adaptive-response sensory-kinase SasA_308,118
48,138665,836,+,Ribokinase,119
49,139629,446,+,Inner membrane protein YbaN,120
50,151063,620,-,hypothetical protein_605,129
51,152701,1154,-,hypothetical protein_604,131
52,164808,392,+,hypothetical protein_316,143
53,167180,773,+,Photosystem I assembly protein Ycf3,147
54,167940,1091,+,Cytoskeleton protein RodZ,148
55,170516,641,+,hypothetical protein_47,150
56,171154,1151,+,Outer membrane protein assembly factor BamB,151
57,172322,761,+,hypothetical protein_46,152
58,185834,1160,+,hypothetical protein_45,165
59,187220,884,+,"3',5'-nucleoside bisphosphate phosphatase",166
60,188283,257,-,hypothetical protein_315,167
61,189864,722,+,hypothetical protein_44,169
62,194659,992,-,hypothetical protein_43,172
63,195651,416,-,hypothetical protein_314,173
64,221439,713,+,N-(5'-phosphoribosyl)anthranilate isomerase,195
65,225187,1280,+,Dihydrofolate synthase/folylpolyglutamate synthase,199
66,252217,239,+,FAD assembly factor SdhE,225
67,252404,449,+,hypothetical protein_366,226
68,255304,641,+,hypothetical protein_78,229
69,255929,1043,+,Sigma factor AlgU regulatory protein MucB,230
70,260397,371,+,hypothetical protein_79,233
71,262381,749,+,DNA repair protein RecO,236
72,263879,383,+,Holo-[acyl-carrier-protein] synthase,238
73,265053,2060,-,Signal transduction histidine-protein kinase BarA,240
74,270311,416,+,hypothetical protein_367,244
75,270788,446,-,hypothetical protein_80,245
76,271564,281,-,hypothetical protein_81,246
77,272674,2066,+,Transketolase 1,248
78,276012,884,+,"Phosphoribulokinase, plasmid",251
79,276934,1028,+,"Fructose-1,6-bisphosphatase class 1",252
80,278177,971,+,Proline iminopeptidase,253
81,282845,341,+,hypothetical protein_325,256
82,283428,98,+,IS5 family transposase ISNGR9,258
83,293411,833,+,Phosphatidate cytidylyltransferase,268
84,299722,1064,+,UDP-3-O-acylglucosamine N-acyltransferase,273
85,308827,1340,+,tRNA(Ile)-lysidine synthase,280
86,314692,725,+,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,285
87,327896,668,-,hypothetical protein_313,299
88,328662,1481,-,hypothetical protein_39,300
89,330415,2102,-,Tail-specific protease,301
90,335426,860,+,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",303
91,336344,488,-,hypothetical protein_38,304
92,338751,623,+,hypothetical protein_596,307
93,346556,440,-,Acetyltransferase,314
94,349948,818,-,hypothetical protein_144,317
95,364753,1997,+,putative TonB-dependent receptor,339
96,366929,902,+,hypothetical protein_603,340
97,368025,335,+,hypothetical protein_242,341
98,368659,242,+,hypothetical protein_203,342
99,369323,524,+,putative peptidyl-prolyl cis-trans isomerase,343
100,370601,602,+,hypothetical protein_168,345
101,373004,1988,+,UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase,348
102,375152,2327,+,Protein YdeP,349
103,379591,545,+,Methylated-DNA--protein-cysteine methyltransferase,352
104,387042,734,+,hypothetical protein_429,359
105,388962,722,+,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB,362
106,394305,806,+,hypothetical protein_430,366
107,416385,2855,-,RecBCD enzyme subunit RecB,389
108,419657,608,-,hypothetical protein_292,390
109,420522,3137,+,hypothetical protein_532,391
110,423656,248,+,hypothetical protein_533,392
111,423904,335,+,hypothetical protein_240,393
112,425882,230,-,hypothetical protein_615,398
113,426623,419,-,hypothetical protein_616,401
