,Gene Start,Gene Size,Strand,Gene Product,Accession
0,2090,1019,+,putative protein_505,2215
1,6943,1931,+,Adaptive-response sensory-kinase SasA_506,2218
2,8894,446,+,Response regulator rcp1,2219
3,9347,2456,+,hypothetical protein_507,2220
4,18445,686,+,hypothetical protein_509,2228
5,19136,1088,+,hypothetical protein_510,2229
6,21196,1649,-,Acetolactate synthase,2231
7,22956,179,-,hypothetical protein_511,2232
8,24466,1016,-,Zinc-type alcohol dehydrogenase-like protein,2234
9,28472,3359,-,RecBCD enzyme subunit RecB_512,2237
10,31828,2669,-,hypothetical protein_151,2238
11,34599,2159,-,DNA helicase IV,2239
