,Gene Start,Gene Size,Strand,Gene Product,Accession
0,13521,827,-,hypothetical protein_66,3222
1,14353,632,-,hypothetical protein_71,3223
2,14999,2360,-,hypothetical protein_67,3224
3,17452,923,-,Denitrification regulatory protein NirQ,3225
4,18625,635,-,Sporulation initiation inhibitor protein Soj,3227
5,19264,266,-,hypothetical protein_59,3228
6,20358,296,-,Major carboxysome shell protein 1A,3231
7,20755,248,-,hypothetical protein_68,3232
8,21003,257,-,Ethanolamine utilization protein EutN,3233
9,21274,1523,-,hypothetical protein_30,3234
10,22809,2693,-,hypothetical protein_82,3235
11,25605,326,-,Ribulose bisphosphate carboxylase small chain,3236
12,27659,980,+,HTH-type transcriptional activator CmpR,3238
13,28580,326,-,hypothetical protein_75,3239
14,28903,3113,-,hypothetical protein_87,3240
15,32001,758,-,hypothetical protein_113,3241
16,32765,1700,-,"NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic",3242
17,34676,293,+,hypothetical protein_45,3243
