,Gene Start,Gene Size,Strand,Gene Product,Accession
0,33,266,+,Ribulose bisphosphate carboxylase small chain,961
1,403,2678,+,hypothetical protein_82,963
2,3093,1526,+,hypothetical protein_30,964
3,4635,257,+,Ethanolamine utilization protein EutN,965
4,4892,248,+,hypothetical protein_68,966
5,6352,266,+,hypothetical protein_59,969
6,6622,635,+,Sporulation initiation inhibitor protein Soj,970
7,7502,929,+,Denitrification regulatory protein NirQ,972
8,8523,2351,+,hypothetical protein_67,973
9,10888,632,+,hypothetical protein_71,974
10,11526,827,+,hypothetical protein_66,975
