,Contig Length,Gene Count,Gene Size,Gene Start,Strand,Gene Product,Accession,Egg Description,Egg Name,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
GCA_001896955_000000000017,88346,10,"[698, 248, 152, 230, 1046, 578, 551, 1343, 2150, 1139]","[8124, 8971, 37541, 59459, 59916, 61172, 61882, 67702, 69907, 75168]","['-', '+', '-', '+', '-', '-', '+', '+', '+', '-']","['hypothetical protein_3', 'hypothetical protein_76', 'hypothetical protein_2', 'hypothetical protein_33', 'hypothetical protein_89', 'hypothetical protein_90', 'hypothetical protein_91', 'Type I secretion system membrane fusion protein PrsE', 'Isochorismate synthase MenF', 'hypothetical protein_34']","[458, 459, 487, 511, 512, 513, 514, 518, 520, 524]","['lytic transglycosylase activity', 'CsbD-like', 'cytochrome c oxidase subunit IV', '-', 'helix_turn_helix, Lux Regulon', '-', '-', 'HlyD membrane-fusion protein of T1SS', 'Anthranilate synthase component I', '-']","['-', 'yjbJ', 'MA20_03820', '-', '-', '-', '-', '-', 'pabB', '-']","['-', 'GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '2.6.1.85,4.1.3.27', '-']","['-', '-', '-', '-', '-', '-', '-', 'ko:K02022', 'ko:K01657,ko:K01665,ko:K13950', '-']","['-', '-', '-', '-', '-', '-', '-', '-', 'ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025', '-']","['-', '-', '-', '-', '-', '-', '-', '-', 'M00023', '-']","['-', '-', '-', '-', '-', '-', '-', '-', 'R00985,R00986,R01716', '-']","['-', '-', '-', '-', '-', '-', '-', '-', 'RC00010,RC01418,RC02148,RC02414', '-']","['-', '-', '-', '-', '-', '-', '-', 'ko00000', 'ko00000,ko00001,ko00002,ko01000', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['B_lectin,SLT', 'CsbD', 'COX4_pro_2', '-', 'GerE', '-', '-', 'Biotin_lipoyl_2,HlyD,HlyD_3', 'Anth_synt_I_N,Chorismate_bind,GATase', 'PcfJ']"
GCA_001896955_000000000018,52811,4,"[638, 920, 1517, 596]","[9029, 16286, 20310, 28655]","['+', '+', '-', '+']","['hypothetical protein_8', '2-dehydropantoate 2-reductase', 'Protein adenylyltransferase SelO', 'hypothetical protein_35']","[548, 554, 559, 565]","['Cytochrome c', 'Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid', 'Belongs to the UPF0061 (SELO) family', 'CHAT domain']","['-', 'MA20_25035', 'MA20_28420', '-']","['-', '-', '-', '-']","['-', '1.1.1.169', '-', '-']","['-', 'ko:K00077', 'ko:K08997', '-']","['-', 'ko00770,ko01100,ko01110,map00770,map01100,map01110', '-', '-']","['-', 'M00119', '-', '-']","['-', 'R02472', '-', '-']","['-', 'RC00726', '-', '-']","['-', 'ko00000,ko00001,ko00002,ko01000', 'ko00000', '-']","['-', '-', '-', '-']","['-', '-', '-', '-']","['-', '-', '-', '-']","['Cytochrom_C,Cytochrome_CBB3', 'ApbA,ApbA_C', 'UPF0061', 'CHAT,TPR_10,TPR_12,TPR_16,TPR_7']"
GCA_001896955_000000000099,20291,5,"[425, 239, 197, 749, 551]","[921, 3028, 5874, 7194, 9860]","['+', '+', '-', '-', '-']","['tRNA (adenine(37)-N6)-methyltransferase', 'hypothetical protein_63', 'hypothetical protein_69', 'hypothetical protein_42', 'hypothetical protein_14']","[1712, 1715, 1718, 1719, 1721]","['Uncharacterised protein family UPF0066', '-', '-', '-', 'Cytochrome c']","['-', '-', '-', '-', 'cyc']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', 'ko:K08738']","['-', '-', '-', '-', 'ko00920,ko01100,ko01120,ko01524,ko02020,ko04115,ko04210,ko04214,ko04215,ko04932,ko05010,ko05012,ko05014,ko05016,ko05134,ko05145,ko05152,ko05161,ko05164,ko05167,ko05168,ko05200,ko05210,ko05222,ko05416,map00920,map01100,map01120,map01524,map02020,map04115,map04210,map04214,map04215,map04932,map05010,map05012,map05014,map05016,map05134,map05145,map05152,map05161,map05164,map05167,map05168,map05200,map05210,map05222,map05416']","['-', '-', '-', '-', 'M00595']","['-', '-', '-', '-', 'R10151']","['-', '-', '-', '-', 'RC03151,RC03152']","['-', '-', '-', '-', 'ko00000,ko00001,ko00002']","['-', '-', '-', '-', '3.D.4.6']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['UPF0066', '-', '-', '-', 'Cytochrom_C']"
GCA_001896955_000000000137,9716,5,"[662, 770, 1631, 1157, 1001]","[174, 830, 2687, 4456, 5610]","['+', '+', '-', '-', '-']","['Phosphorylated carbohydrates phosphatase', 'hypothetical protein_46', 'hypothetical protein_47', 'UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase', 'UDP-N-acetylglucosamine 4,6-dehydratase (inverting)']","[1988, 1989, 1991, 1992, 1993]","['haloacid dehalogenase-like hydrolase', 'nUDIX hydrolase', 'transferase activity, transferring glycosyl groups', 'Belongs to the DegT DnrJ EryC1 family', 'Polysaccharide biosynthesis protein']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['3.1.3.18', '-', '-', '-', '4.2.1.115,5.1.3.2']","['ko:K01091', '-', '-', '-', 'ko:K15894,ko:K17716']","['ko00630,ko01100,ko01110,ko01130,map00630,map01100,map01110,map01130', '-', '-', '-', 'ko00052,ko00520,ko01100,map00052,map00520,map01100']","['-', '-', '-', '-', 'M00362']","['R01334', '-', '-', '-', 'R00291,R09697']","['RC00017', '-', '-', '-', 'RC00289,RC02609']","['ko00000,ko00001,ko01000', '-', '-', '-', 'ko00000,ko00001,ko00002,ko01000']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['HAD_2', '-', '-', 'DegT_DnrJ_EryC1', 'Polysacc_synt_2']"
GCA_001896955_000000000206,48283,4,"[1028, 677, 1250, 986]","[66, 1129, 2069, 3525]","['+', '+', '+', '+']","['hypothetical protein_56', 'Nitrate reductase-like protein NarX', 'putative nitrate transporter NarT', 'hypothetical protein_57']","[3226, 3227, 3228, 3229]","['nitrate reductase molybdenum cofactor assembly chaperone', 'Nitrate reductase gamma subunit', 'Major Facilitator Superfamily', 'Voltage-dependent anion channel']","['-', 'narI', '-', '-']","['-', '-', '-', '-']","['-', '1.7.5.1', '-', '-']","['ko:K00373', 'ko:K00374', 'ko:K02575', '-']","['ko02020,map02020', 'ko00910,ko01120,ko02020,map00910,map01120,map02020', 'ko00910,map00910', '-']","['-', 'M00529,M00530', 'M00615', '-']","['-', 'R00798,R01106,R09497', '-', '-']","['-', 'RC02812', '-', '-']","['ko00000,ko00001', 'ko00000,ko00001,ko00002,ko01000', 'ko00000,ko00001,ko00002,ko02000', '-']","['-', '5.A.3.1', '2.A.1.8', '-']","['-', '-', '-', '-']","['-', '-', '-', '-']","['Nitrate_red_del', 'Nitrate_red_gam', 'MFS_1', 'SLAC1']"
GCA_001896955_000000000210,27708,6,"[827, 632, 2360, 929, 635, 266]","[21250, 22083, 22729, 25179, 26365, 27004]","['-', '-', '-', '-', '-', '-']","['hypothetical protein_66', 'hypothetical protein_71', 'hypothetical protein_67', 'Denitrification regulatory protein NirQ', 'Sporulation initiation inhibitor protein Soj', 'hypothetical protein_59']","[3352, 3353, 3354, 3355, 3357, 3358]","['Trypsin-like peptidase domain', 'BMC', 'von Willebrand factor, type A', 'CbbQ/NirQ/NorQ C-terminal', 'Cobyrinic acid a,c-diamide synthase', 'pterin-4-alpha-carbinolamine dehydratase']","['-', '-', 'cbbO', 'cbbQ', 'parA1', '-']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', 'ko:K04748', 'ko:K03496', '-']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', 'R00294', '-', '-']","['-', '-', '-', 'RC02794', '-', '-']","['-', '-', '-', 'ko00000', 'ko00000,ko03036,ko04812', '-']","['-', '-', '-', '3.D.4.10', '-', '-']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['Trypsin_2', 'BMC', 'VWA,VWA_2', 'AAA_5,CbbQ_C', 'AAA_31', '-']"
GCA_001897285_000000000059,13143,11,"[266, 2678, 1526, 257, 248, 266, 635, 929, 2351, 632, 827]","[33, 403, 3093, 4635, 4892, 6352, 6622, 7502, 8523, 10888, 11526]","['+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+']","['Ribulose bisphosphate carboxylase small chain', 'hypothetical protein_82', 'hypothetical protein_30', 'Ethanolamine utilization protein EutN', 'hypothetical protein_68', 'hypothetical protein_59', 'Sporulation initiation inhibitor protein Soj', 'Denitrification regulatory protein NirQ', 'hypothetical protein_67', 'hypothetical protein_71', 'hypothetical protein_66']","[961, 963, 964, 965, 966, 969, 970, 972, 973, 974, 975]","['Function of homologous gene experimentally demonstrated in an other organism', 'Function proposed based on presence of conserved amino acid motif, structural feature or limited homology', 'Carboxysome Shell Carbonic Anhydrase', 'Ethanolamine utilisation protein EutN/carboxysome', 'Ethanolamine utilisation protein EutN/carboxysome', 'pterin-4-alpha-carbinolamine dehydratase', 'Cobyrinic acid a,c-diamide synthase', 'CbbQ/NirQ/NorQ C-terminal', 'von Willebrand factor, type A', 'BMC', 'Trypsin-like peptidase domain']","['ccbS2', '-', '-', '-', '-', '-', 'parA1', 'cbbQ', 'cbbO', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['4.1.1.39', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['ko:K01602', '-', '-', '-', '-', '-', 'ko:K03496', 'ko:K04748', '-', '-', '-']","['ko00630,ko00710,ko01100,ko01120,ko01200,map00630,map00710,map01100,map01120,map01200', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['M00165,M00166,M00532', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['R00024,R03140', '-', '-', '-', '-', '-', '-', 'R00294', '-', '-', '-']","['RC00172,RC00859', '-', '-', '-', '-', '-', '-', 'RC02794', '-', '-', '-']","['ko00000,ko00001,ko00002,ko01000', '-', '-', '-', '-', '-', 'ko00000,ko03036,ko04812', 'ko00000', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '3.D.4.10', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['RuBisCO_small', 'CsoS2_M', 'CsoSCA', 'EutN_CcmL', 'EutN_CcmL', '-', 'AAA_31', 'AAA_5,CbbQ_C', 'VWA,VWA_2', 'BMC', 'Trypsin_2']"
GCA_001897285_000000000062,6909,5,"[479, 1028, 677, 1250, 1031]","[8, 665, 1728, 2688, 4100]","['+', '+', '+', '+', '+']","['Respiratory nitrate reductase 2 beta chain', 'hypothetical protein_56', 'Nitrate reductase-like protein NarX', 'putative nitrate transporter NarT', 'hypothetical protein_57']","[992, 993, 994, 995, 996]","['Respiratory nitrate reductase beta C-terminal', 'nitrate reductase molybdenum cofactor assembly chaperone', 'Nitrate reductase gamma subunit', 'Major Facilitator Superfamily', 'Voltage-dependent anion channel']","['narH', '-', 'narI', '-', '-']","['-', '-', '-', '-', '-']","['1.7.5.1', '-', '1.7.5.1', '-', '-']","['ko:K00371', 'ko:K00373', 'ko:K00374', 'ko:K02575', '-']","['ko00910,ko01120,ko02020,map00910,map01120,map02020', 'ko02020,map02020', 'ko00910,ko01120,ko02020,map00910,map01120,map02020', 'ko00910,map00910', '-']","['M00529,M00530,M00804', '-', 'M00529,M00530', 'M00615', '-']","['R00798,R01106,R09497', '-', 'R00798,R01106,R09497', '-', '-']","['RC02812', '-', 'RC02812', '-', '-']","['ko00000,ko00001,ko00002,ko01000', 'ko00000,ko00001', 'ko00000,ko00001,ko00002,ko01000', 'ko00000,ko00001,ko00002,ko02000', '-']","['5.A.3.1', '-', '5.A.3.1', '2.A.1.8', '-']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['Fer4_11,Nitr_red_bet_C', 'Nitrate_red_del', 'Nitrate_red_gam', 'MFS_1', 'SLAC1']"
GCA_001897285_000000000064,182969,4,"[404, 1664, 887, 239]","[2076, 103822, 105528, 179462]","['-', '-', '-', '+']","['hypothetical protein_25', 'hypothetical protein_77', 'putative metallo-hydrolase', 'hypothetical protein_20']","[1026, 1135, 1136, 1214]","['Phage tail tube protein, GTA-gp10', 'Pyridine nucleotide-disulphide oxidoreductase', 'Metallo-beta-lactamase superfamily', '-']","['-', '-', '-', '-']","['-', '-', '-', '-']","['-', '1.8.5.4', '-', '-']","['-', 'ko:K17218', '-', '-']","['-', 'ko00920,map00920', '-', '-']","['-', '-', '-', '-']","['-', 'R10152', '-', '-']","['-', 'RC03155', '-', '-']","['-', 'ko00000,ko00001,ko01000', '-', '-']","['-', '-', '-', '-']","['-', '-', '-', '-']","['-', '-', '-', '-']","['Phage_TAC_11', 'DUF442,Pyr_redox_2', 'Lactamase_B', '-']"
GCA_001897285_000000000082,57067,6,"[224, 197, 764, 557, 188, 185]","[1925, 4818, 6426, 8879, 34746, 39421]","['+', '-', '-', '-', '+', '-']","['hypothetical protein_63', 'hypothetical protein_69', 'hypothetical protein_42', 'hypothetical protein_14', 'hypothetical protein_10', 'hypothetical protein_27']","[1413, 1416, 1417, 1420, 1449, 1458]","['-', '-', '-', 'Cytochrome c', '-', '-']","['-', '-', '-', 'cyc', '-', '-']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', 'ko:K08738', '-', '-']","['-', '-', '-', 'ko00920,ko01100,ko01120,ko01524,ko02020,ko04115,ko04210,ko04214,ko04215,ko04932,ko05010,ko05012,ko05014,ko05016,ko05134,ko05145,ko05152,ko05161,ko05164,ko05167,ko05168,ko05200,ko05210,ko05222,ko05416,map00920,map01100,map01120,map01524,map02020,map04115,map04210,map04214,map04215,map04932,map05010,map05012,map05014,map05016,map05134,map05145,map05152,map05161,map05164,map05167,map05168,map05200,map05210,map05222,map05416', '-', '-']","['-', '-', '-', 'M00595', '-', '-']","['-', '-', '-', 'R10151', '-', '-']","['-', '-', '-', 'RC03151,RC03152', '-', '-']","['-', '-', '-', 'ko00000,ko00001,ko00002', '-', '-']","['-', '-', '-', '3.D.4.6', '-', '-']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-']","['-', '-', '-', 'Cytochrom_C', '-', '-']"
