,Gene Start,Gene Size,Strand,Gene Product,Accession
0,3471,371,+,hypothetical protein_104,3354
1,3945,2339,+,Vitamin B12 transporter BtuB_108,3355
2,77212,4466,-,hypothetical protein_92,3415
3,81678,2033,-,Outer membrane protein assembly factor BamA,3416
4,145047,560,+,hypothetical protein_14,3477
5,147375,746,+,hypothetical protein_42,3479
6,148787,197,+,hypothetical protein_69,3480
7,151878,224,-,hypothetical protein_63,3483
8,153699,452,-,tRNA (adenine(37)-N6)-methyltransferase,3485
9,154723,854,+,Cytochrome c oxidase subunit 2,3486
10,155694,1616,+,Cytochrome c oxidase subunit 1,3487
11,157317,992,+,Protoheme IX farnesyltransferase,3488
12,158325,170,+,hypothetical protein_118,3489
13,158502,650,+,Cytochrome c oxidase assembly protein CtaG,3490
14,159247,854,+,Cytochrome c oxidase subunit 3,3491
