,Accession,Egg Description,Egg Name,Gene Size,Gene Start,Strand,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
Tyrosine recombinase XerD,4,Belongs to the 'phage' integrase family,-,584,2525,+,-,-,-,-,-,-,-,-,-,-,-,"Phage_int_SAM_4,Phage_integrase"
hypothetical protein_531,5,Uncharacterised protein family (UPF0158),-,479,3640,+,-,-,-,-,-,-,-,-,-,-,-,UPF0158
hypothetical protein_158,7,-,-,155,6580,-,-,-,-,-,-,-,-,-,-,-,-,-
Aspartate/glutamate leucyltransferase,17,May conjugate Arg from its aminoacyl-tRNA to the N- termini of proteins containing an N-terminal aspartate or glutamate,ate,722,18239,-,-,2.3.2.29,ko:K21420,-,-,"R11547,R11548",RC00064,"ko00000,ko01000",-,-,-,"ATE_C,ATE_N"
hypothetical protein_142,19,Peptidogalycan biosysnthesis/recognition,-,1166,19872,-,-,-,ko:K09919,-,-,-,-,ko00000,-,-,-,FemAB_like
hypothetical protein_494,20,-,-,137,21178,+,-,-,-,-,-,-,-,-,-,-,-,-
Outer-membrane lipoprotein carrier protein,22,Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane),lolA,635,23777,+,-,-,ko:K03634,-,-,-,-,ko00000,-,-,-,LolA
hypothetical protein_426,35,-,-,1271,41244,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_104,36,Protein of unknown function (DUF3365),-,878,42546,+,-,-,-,-,-,-,-,-,-,-,-,"DUF3365,HAMP"
Serine/threonine-protein kinase PknD,37,serine threonine protein kinase,-,1451,43599,+,-,2.7.11.1,ko:K12132,-,-,-,-,"ko00000,ko01000,ko01001",-,-,-,"CHASE2,HAMP,HEAT_2,Pkinase,sCache_3_2"
hypothetical protein_425,38,Sugar-specific transcriptional regulator TrmB,-,836,45276,-,-,-,-,-,-,-,-,-,-,-,-,"Regulator_TrmB,TrmB"
hypothetical protein_618,40,-,-,236,46680,+,-,-,-,-,-,-,-,-,-,-,-,-
"Propane 2-monooxygenase, reductase component",41,phenol hydroxylase,poxF,737,46808,-,-,-,-,-,-,-,-,-,-,-,-,"FAD_binding_6,NAD_binding_1"
hypothetical protein_424,42,Exporters of the RND superfamily,-,2684,47636,-,-,-,-,-,-,-,-,-,-,-,-,MMPL
Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase,43,radical SAM domain protein,hpnJ,428,50378,-,-,-,-,-,-,-,-,-,-,-,-,"B12-binding,Radical_SAM"
hypothetical protein_221,44,"COG1215 Glycosyltransferases, probably involved in cell wall biogenesis",-,320,50803,-,-,2.4.1.80,ko:K00720,"ko00600,ko01100,map00600,map01100",M00066,R01497,"RC00005,RC00059","ko00000,ko00001,ko00002,ko01000,ko01003,ko02000",4.D.1.4,GT21,-,Glyco_transf_21
2-alkyl-3-oxoalkanoate reductase,46,NmrA-like family,-,992,51618,+,-,1.1.1.219,ko:K00091,-,-,-,-,"ko00000,ko01000",-,-,-,Epimerase
hypothetical protein_423,47,Protein of unknown function (DUF1614),-,704,52627,-,-,-,-,-,-,-,-,-,-,-,-,DUF1614
hypothetical protein_103,48,Mechanosensitive ion channel,-,2525,53403,-,-,-,-,-,-,-,-,-,-,-,-,MS_channel
hypothetical protein_114,51,ubiquitin protein ligase binding,-,956,59495,-,-,-,-,-,-,-,-,-,-,-,-,-
